         2321360 function calls (2294717 primitive calls) in 0.646 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      523    0.000    0.000    0.005    0.000 __init__.py:1266(emit)
      302    0.000    0.000    0.001    0.000 base.py:1033(view)
      220    0.000    0.000    0.001    0.000 convert.py:455(<genexpr>)
     1450    0.000    0.000    0.000    0.000 graph.py:473(__contains__)
      491    0.000    0.000    0.001    0.000 notation3.py:892(blankNode)
  174/168    0.000    0.000    0.002    0.000 missing.py:180(_isna)
        1    0.000    0.000    0.051    0.051 _batch_writer.py:417(write_nodes)
      272    0.000    0.000    0.000    0.000 range.py:620(_view)
      546    0.000    0.000    0.000    0.000 __init__.py:447(usesTime)
     1619    0.000    0.000    0.000    0.000 _batch_writer.py:893(<genexpr>)
      313    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      205    0.000    0.000    0.001    0.000 frame.py:686(_constructor_sliced_from_mgr)
      205    0.000    0.000    0.000    0.000 base.py:5384(__getitem__)
      237    0.000    0.000    0.000    0.000 coreviews.py:293(__iter__)
      279    0.000    0.000    0.003    0.000 config.py:143(get_option)
      606    0.000    0.000    0.000    0.000 config.py:676(_get_deprecated_option)
      629    0.000    0.000    0.000    0.000 term.py:151(__new__)
     2000    0.000    0.000    0.000    0.000 adapter_omnipath_networks.py:279(get_id)
     1408    0.000    0.000    0.000    0.000 error.py:6(__init__)
     1069    0.000    0.000    0.000    0.000 __init__.py:831(filter)
     2000    0.000    0.000    0.000    0.000 adapter_omnipath_networks.py:407(get_label)
      523    0.000    0.000    0.000    0.000 {built-in method _asyncio.current_task}
      235    0.000    0.000    0.000    0.000 coreviews.py:351(__getitem__)
       72    0.000    0.000    0.000    0.000 blocks.py:2247(new_block_2d)
      386    0.000    0.000    0.000    0.000 constructor.py:173(construct_scalar)
      400    0.000    0.000    0.003    0.000 parser.py:270(parse_block_node_or_indentless_sequence)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      303    0.000    0.000    0.000    0.000 config.py:668(_get_root)
     1066    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       18    0.000    0.000    0.001    0.000 base.py:486(__new__)
       36    0.000    0.000    0.016    0.000 components.py:43(validate)
     1618    0.000    0.000    0.000    0.000 adapter_omnipath_networks.py:285(get_label)
      546    0.000    0.000    0.000    0.000 __init__.py:668(usesTime)
      546    0.000    0.000    0.000    0.000 __init__.py:462(format)
      546    0.000    0.000    0.000    0.000 __init__.py:674(formatMessage)
       20    0.000    0.000    0.003    0.000 notation3.py:1874(newList)
      181    0.000    0.000    0.000    0.000 indexing.py:2780(check_dict_or_set_indexers)
      523    0.000    0.000    0.000    0.000 __init__.py:129(getLevelName)
     1135    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      248    0.000    0.000    0.001    0.000 common.py:105(is_bool_indexer)
       12    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      523    0.000    0.000    0.000    0.000 threading.py:1483(current_thread)
     1092    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
       74    0.000    0.000    0.003    0.000 indexing.py:1192(__getitem__)
      259    0.000    0.000    0.000    0.000 generic.py:294(_from_mgr)
     1769    0.000    0.000    0.000    0.000 _ontology.py:231(<lambda>)
      205    0.000    0.000    0.003    0.000 frame.py:4292(_ixs)
      523    0.000    0.000    0.000    0.000 __init__.py:170(<lambda>)
       49    0.000    0.000    0.003    0.000 pandas_engine.py:222(dtype)
      546    0.000    0.000    0.000    0.000 __init__.py:383(getMessage)
       74    0.000    0.000    0.001    0.000 indexing.py:1740(_getitem_axis)
      111    0.000    0.000    0.000    0.000 _dtype.py:32(__str__)
      560    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
       51    0.000    0.000    0.000    0.000 string_.py:196(__init__)
      241    0.000    0.000    0.000    0.000 types.py:156(get_backend_types_from_mro)
     1602    0.000    0.000    0.000    0.000 reportviews.py:785(<lambda>)
    44/22    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1349(_find_and_load)
        1    0.000    0.000    0.000    0.000 c_parser_wrapper.py:336(_concatenate_chunks)
     1028    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      453    0.000    0.000    0.000    0.000 coreviews.py:302(__getitem__)
      702    0.000    0.000    0.000    0.000 gzip.py:89(read)
       15    0.000    0.000    0.001    0.000 constructor.py:132(construct_mapping)
       74    0.000    0.000    0.003    0.000 indexing.py:1710(_getitem_tuple)
     1618    0.000    0.000    0.000    0.000 adapter_omnipath_networks.py:291(get_properties)
     1618    0.000    0.000    0.000    0.000 _create.py:132(get_properties)
        1    0.000    0.000    0.036    0.036 adapter_omnipath_networks.py:140(_load_dataframe)
