['data/subset_interactions_edgecases.tsv']
         2366545 function calls (2328730 primitive calls) in 2.216 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      203    0.000    0.000    0.009    0.000 scanner.py:156(fetch_more_tokens)
       72    0.000    0.000    0.005    0.000 indexing.py:1032(_getitem_lowerdim)
      494    0.000    0.000    0.002    0.000 _misc.py:145(from_pascal)
     1155    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
     1434    0.000    0.000    0.000    0.000 reportviews.py:779(<lambda>)
        2    0.000    0.000    0.001    0.000 digraph.py:489(add_nodes_from)
     1150    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:976(find_spec)
      129    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1563(__init__)
      129    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1640(_fill_cache)
       62    0.000    0.000    0.001    0.000 inspect.py:3015(__init__)
      168    0.000    0.000    0.001    0.000 <frozen posixpath>:71(join)
       12    0.000    0.000    0.007    0.001 dataclasses.py:921(_process_class)
       90    0.000    0.000    0.005    0.000 __init__.py:810(read_text)
  348/280    0.000    0.000    0.002    0.000 typing.py:1544(__hash__)
      111    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     1208    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
      521    0.000    0.000    0.008    0.000 __init__.py:179(sub)
     1856    0.000    0.000    0.000    0.000 _parser.py:109(__init__)
       44    0.000    0.000    0.008    0.000 traceback.py:518(format)
       72    0.000    0.000    0.001    0.000 config.py:491(register_option)
      717    0.000    0.000    0.001    0.000 reportviews.py:798(__iter__)
     2538    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     1834    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      147    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      629    0.000    0.000    0.001    0.000 term.py:453(__new__)
       99    0.000    0.000    0.005    0.000 __init__.py:648(bind)
     1150    0.000    0.000    0.000    0.000 _virtualenv.py:52(find_spec)
      833    0.000    0.000    0.001    0.000 _compiler.py:396(_simple)
       51    0.000    0.000    0.002    0.000 typing.py:1023(_generic_class_getitem)
      580    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      717    0.000    0.000    0.001    0.000 reportviews.py:881(__iter__)
     1933    0.000    0.000    0.001    0.000 {built-in method builtins.iter}
     2303    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
     1159    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      633    0.000    0.000    0.000    0.000 functools.py:65(wraps)
      220    0.000    0.000    0.000    0.000 generic.py:6301(__setattr__)
      826    0.000    0.000    0.005    0.000 typing.py:702(<genexpr>)
     2358    0.000    0.000    0.000    0.000 escape_codes.py:24(<genexpr>)
    147/3    0.000    0.000    0.014    0.005 composer.py:63(compose_node)
     2876    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
  720/586    0.000    0.000    0.001    0.000 typing.py:1232(__hash__)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
       90    0.000    0.000    0.007    0.000 _itertools.py:4(unique_everseen)
       93    0.000    0.000    0.001    0.000 typing.py:340(_flatten_literal_params)
    56/15    0.000    0.000    0.003    0.000 typing.py:1302(_make_substitution)
      220    0.000    0.000    0.001    0.000 breadth_first_search.py:19(generic_bfs_edges)
      855    0.000    0.000    0.001    0.000 enum.py:1112(__new__)
      184    0.000    0.000    0.003    0.000 pathlib.py:437(__str__)
